2015/04/21 22:15:11 2015-02-24, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-02-24, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-02-24, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-24, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-02-24, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-02-24, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-24, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-02-24, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-24, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-02-24, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-02-24, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-02-24, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-02-24, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-02-24, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-02-24, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-02-24, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-02-25, buy: 1218.000000, sell: 1233.000000
2015/04/21 22:15:11 2015-02-25, buy: 1217.000000, sell: 1232.000000
2015/04/21 22:15:11 2015-02-25, buy: 1218.000000, sell: 1233.000000
2015/04/21 22:15:11 2015-02-25, buy: 1217.000000, sell: 1232.000000
2015/04/21 22:15:11 2015-02-25, buy: 1218.000000, sell: 1233.000000
2015/04/21 22:15:11 2015-02-25, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-02-25, buy: 1217.000000, sell: 1232.000000
2015/04/21 22:15:11 2015-02-25, buy: 1218.000000, sell: 1233.000000
2015/04/21 22:15:11 2015-02-26, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-02-26, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-02-26, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-02-26, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-02-26, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-02-26, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-02-26, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-26, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-02-26, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-02-26, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-02-26, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-26, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-02-26, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-02-26, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-02-26, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-02-26, buy: 1217.000000, sell: 1232.000000
2015/04/21 22:15:11 2015-02-26, buy: 1218.000000, sell: 1233.000000
2015/04/21 22:15:11 2015-02-26, buy: 1217.000000, sell: 1232.000000
2015/04/21 22:15:11 2015-02-26, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-02-26, buy: 1214.000000, sell: 1229.000000
2015/04/21 22:15:11 2015-03-02, buy: 1219.000000, sell: 1234.000000
2015/04/21 22:15:11 2015-03-02, buy: 1224.000000, sell: 1239.000000
2015/04/21 22:15:11 2015-03-02, buy: 1226.000000, sell: 1241.000000
2015/04/21 22:15:11 2015-03-02, buy: 1227.000000, sell: 1242.000000
2015/04/21 22:15:11 2015-03-02, buy: 1226.000000, sell: 1241.000000
2015/04/21 22:15:11 2015-03-02, buy: 1227.000000, sell: 1242.000000
2015/04/21 22:15:11 2015-03-02, buy: 1226.000000, sell: 1241.000000
2015/04/21 22:15:11 2015-03-02, buy: 1225.000000, sell: 1240.000000
2015/04/21 22:15:11 2015-03-02, buy: 1224.000000, sell: 1239.000000
2015/04/21 22:15:11 2015-03-02, buy: 1225.000000, sell: 1240.000000
2015/04/21 22:15:11 2015-03-02, buy: 1226.000000, sell: 1241.000000
2015/04/21 22:15:11 2015-03-02, buy: 1224.000000, sell: 1239.000000
2015/04/21 22:15:11 2015-03-02, buy: 1222.000000, sell: 1237.000000
2015/04/21 22:15:11 2015-03-02, buy: 1224.000000, sell: 1239.000000
2015/04/21 22:15:11 2015-03-03, buy: 1216.000000, sell: 1231.000000
2015/04/21 22:15:11 2015-03-03, buy: 1215.000000, sell: 1230.000000
2015/04/21 22:15:11 2015-03-03, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-03-03, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-03, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-03-03, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-03, buy: 1208.000000, sell: 1223.000000
2015/04/21 22:15:11 2015-03-03, buy: 1204.000000, sell: 1219.000000
2015/04/21 22:15:11 2015-03-03, buy: 1201.000000, sell: 1216.000000
2015/04/21 22:15:11 2015-03-03, buy: 1203.000000, sell: 1218.000000
2015/04/21 22:15:11 2015-03-03, buy: 1205.000000, sell: 1220.000000
2015/04/21 22:15:11 2015-03-03, buy: 1207.000000, sell: 1222.000000
2015/04/21 22:15:11 2015-03-03, buy: 1210.000000, sell: 1225.000000
2015/04/21 22:15:11 2015-03-03, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-03, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-03-03, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-03-03, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-03, buy: 1213.000000, sell: 1228.000000
2015/04/21 22:15:11 2015-03-03, buy: 1212.000000, sell: 1227.000000
2015/04/21 22:15:11 2015-03-04, buy: 1211.000000, sell: 1226.000000
2015/04/21 22:15:11 2015-03-04, buy: 1209.000000, sell: 1224.000000
2015/04/21 22:15:11 2015-03-04, buy: 1208.000000, sell: 1223.000000
